tipo de grafico	columnas apiladas		
titulo grafico	Gastos del Parque Nacional del Archipiélago de Cabrera		
titulo eje x	Gasto total [Datos no disponibles: Personal, Áreas de influencia (2012), Inversiones en el medio natural (2012)]		
titulo eje y	Euros		
categorias	2010	2011	2012
Personal	null	null	null
Áreas de influencia	611614.91	611614.91	null
Mantenimiento y vigilancia	3040860.42	3169805.26	987544.4
Inversiones en el medio natural	206390.59	921079.67	null
