tipo de grafico	columnas apiladas		
titulo grafico	Gastos del Parque Nacional del Teide		
titulo eje x	Gasto total  [Datos no disponibles: Personal, Áreas de influencia]		
titulo eje y	Euros		
categorias	2010	2011	2012
Personal	null	null	null
Áreas de influencia	null	null	null
Mantenimiento y vigilancia	2143635	1985760	1808244.15
Inversiones en el medio natural	2611079	2271523	1488942.31
