tipo de grafico	columnas apiladas		
titulo grafico	Gastos del Parque Nacional de Doñana		
titulo eje x	Gasto total  [Datos no disponibles: Personal, Áreas de influencia (2012)]		
titulo eje y	Euros		
categorias	2010	2011	2012
Personal	null	null	null
Áreas de influencia	2755806.45	2755806.45	null
Mantenimiento y vigilancia	3020963.83	1546216.04	1942988.61
Inversiones en el medio natural	12949051.87	24876170.87	13007827.33
